STATE FIPS,COUNTY FIPS,PLANNING REGION FIPS,PLANNING REGION NAME,TOWN FIPS,TOWN NAME,SEX,AGEGRP,AGE_CODE,ALL_RACE-ETHN,NH_WHITE,NH_BLACK,NH_AIAN,NH_ASIAN,NH_NHOPI,NH_TOM,HISP
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,55--59,12,4648,1182,1600,12,130,0,75,1649
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,60--64,13,4072,1215,1378,13,98,0,57,1311
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,65--69,14,3017,1026,986,3,107,0,31,864
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,70--74,15,2177,771,674,2,63,0,29,638
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,75--79,16,1295,505,374,0,36,0,18,362
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,80--84,17,711,321,170,0,24,0,11,185
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,MALE,85+,18,655,368,119,3,10,1,14,140
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,00--04,1,4403,540,1444,9,92,1,138,2179
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,05--09,2,4661,434,1483,14,108,0,131,2491
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,10--14,3,4987,426,1704,12,123,2,121,2599
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,15--19,4,5358,836,1743,13,123,3,115,2525
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,20--24,5,5963,1213,1918,6,171,1,132,2522
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,25--29,6,5631,920,1996,16,162,3,106,2428
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,30--34,7,5587,945,1931,9,179,1,108,2414
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,35--39,8,5375,837,1812,10,144,2,78,2492
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,40--44,9,5100,734,1798,13,172,1,76,2306
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,45--49,10,4534,699,1683,5,140,1,64,1942
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,50--54,11,4886,802,1897,15,152,0,65,1955
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,55--59,12,4890,1077,1950,13,111,4,67,1668
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,60--64,13,4473,1278,1687,4,129,0,57,1318
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,65--69,14,3469,1028,1226,14,126,0,39,1036
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,70--74,15,2705,857,924,3,90,3,33,795
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,75--79,16,1824,621,591,1,44,0,27,540
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,80--84,17,1289,519,408,0,25,0,10,327
09,001,120,Greater Bridgeport Planning Region,08070,Bridgeport town,FEMALE,85+,18,1455,860,313,1,29,2,16,234
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,00--04,1,371,264,10,1,18,0,25,53
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,05--09,2,498,366,11,1,37,0,14,69
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,10--14,3,559,418,7,1,41,0,13,79
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,15--19,4,568,445,21,0,31,0,10,61
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,20--24,5,477,401,5,0,24,1,12,34
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,25--29,6,422,340,8,0,10,0,15,49
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,30--34,7,419,329,8,0,21,0,9,52
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,35--39,8,479,356,10,0,37,0,6,70
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,40--44,9,505,391,21,0,44,0,11,38
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,45--49,10,562,455,19,1,37,1,12,37
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,50--54,11,649,565,9,0,45,0,7,23
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,55--59,12,759,679,9,0,27,0,9,35
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,60--64,13,704,634,17,1,25,0,2,25
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,65--69,14,547,504,5,0,19,1,2,16
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,70--74,15,409,370,5,0,16,0,1,17
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,75--79,16,269,255,0,0,3,0,0,11
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,80--84,17,176,153,2,0,8,0,0,13
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,MALE,85+,18,124,119,2,0,0,0,0,3
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,00--04,1,389,272,19,2,18,0,22,56
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,05--09,2,479,339,6,1,26,0,32,75
